confidence_threshold,similarity_threshold,auto_count,auto_rate,automation_precision,safe_automation_coverage,unsafe_automation_rate,decision_accuracy
0.05,0.1,153,0.6954545454545454,0.23529411764705882,0.16363636363636364,0.5318181818181819,0.38636363636363635
0.05,0.15,118,0.5363636363636364,0.2542372881355932,0.13636363636363635,0.4,0.4909090909090909
0.05,0.2,58,0.2636363636363636,0.3103448275862069,0.08181818181818182,0.18181818181818182,0.6545454545454545
0.05,0.25,29,0.1318181818181818,0.27586206896551724,0.03636363636363636,0.09545454545454546,0.6954545454545454
0.05,0.3,12,0.05454545454545454,0.25,0.013636363636363636,0.04090909090909091,0.7272727272727273
0.05,0.35,7,0.031818181818181815,0.14285714285714285,0.004545454545454545,0.02727272727272727,0.7318181818181818
0.05,0.4,2,0.00909090909090909,0.5,0.004545454545454545,0.004545454545454545,0.7545454545454545
0.08,0.1,140,0.6363636363636364,0.21428571428571427,0.13636363636363635,0.5,0.39090909090909093
0.08,0.15,108,0.4909090909090909,0.24074074074074073,0.11818181818181818,0.37272727272727274,0.5
0.08,0.2,52,0.23636363636363636,0.2692307692307692,0.06363636363636363,0.17272727272727273,0.6454545454545455
0.08,0.25,26,0.11818181818181818,0.23076923076923078,0.02727272727272727,0.09090909090909091,0.6909090909090909
0.08,0.3,12,0.05454545454545454,0.25,0.013636363636363636,0.04090909090909091,0.7272727272727273
0.08,0.35,7,0.031818181818181815,0.14285714285714285,0.004545454545454545,0.02727272727272727,0.7318181818181818
0.08,0.4,2,0.00909090909090909,0.5,0.004545454545454545,0.004545454545454545,0.7545454545454545
0.1,0.1,136,0.6181818181818182,0.20588235294117646,0.12727272727272726,0.4909090909090909,0.39090909090909093
0.1,0.15,104,0.4727272727272727,0.23076923076923078,0.10909090909090909,0.36363636363636365,0.5
0.1,0.2,50,0.22727272727272727,0.28,0.06363636363636363,0.16363636363636364,0.6545454545454545
0.1,0.25,26,0.11818181818181818,0.23076923076923078,0.02727272727272727,0.09090909090909091,0.6909090909090909
0.1,0.3,12,0.05454545454545454,0.25,0.013636363636363636,0.04090909090909091,0.7272727272727273
0.1,0.35,7,0.031818181818181815,0.14285714285714285,0.004545454545454545,0.02727272727272727,0.7318181818181818
0.1,0.4,2,0.00909090909090909,0.5,0.004545454545454545,0.004545454545454545,0.7545454545454545
0.12,0.1,125,0.5681818181818182,0.2,0.11363636363636363,0.45454545454545453,0.41363636363636364
0.12,0.15,97,0.4409090909090909,0.21649484536082475,0.09545454545454546,0.34545454545454546,0.5045454545454545
0.12,0.2,45,0.20454545454545456,0.26666666666666666,0.05454545454545454,0.15,0.6590909090909091
0.12,0.25,23,0.10454545454545454,0.21739130434782608,0.022727272727272728,0.08181818181818182,0.6954545454545454
0.12,0.3,10,0.045454545454545456,0.3,0.013636363636363636,0.031818181818181815,0.7363636363636363
0.12,0.35,6,0.02727272727272727,0.16666666666666666,0.004545454545454545,0.022727272727272728,0.7363636363636363
0.12,0.4,1,0.004545454545454545,1.0,0.004545454545454545,0.0,0.759090909090909
0.14,0.1,97,0.4409090909090909,0.1958762886597938,0.08636363636363636,0.35454545454545455,0.4863636363636364
0.14,0.15,75,0.3409090909090909,0.2,0.06818181818181818,0.2727272727272727,0.55
0.14,0.2,34,0.15454545454545454,0.2647058823529412,0.04090909090909091,0.11363636363636363,0.6818181818181818
0.14,0.25,18,0.08181818181818182,0.2222222222222222,0.01818181818181818,0.06363636363636363,0.7090909090909091
0.14,0.3,6,0.02727272727272727,0.5,0.013636363636363636,0.013636363636363636,0.7545454545454545
0.14,0.35,3,0.013636363636363636,0.3333333333333333,0.004545454545454545,0.00909090909090909,0.75
0.14,0.4,1,0.004545454545454545,1.0,0.004545454545454545,0.0,0.759090909090909
0.16,0.1,69,0.31363636363636366,0.2028985507246377,0.06363636363636363,0.25,0.5681818181818182
0.16,0.15,57,0.2590909090909091,0.21052631578947367,0.05454545454545454,0.20454545454545456,0.6045454545454545
0.16,0.2,28,0.12727272727272726,0.21428571428571427,0.02727272727272727,0.1,0.6818181818181818
0.16,0.25,16,0.07272727272727272,0.1875,0.013636363636363636,0.05909090909090909,0.7090909090909091
0.16,0.3,5,0.022727272727272728,0.4,0.00909090909090909,0.013636363636363636,0.75
0.16,0.35,3,0.013636363636363636,0.3333333333333333,0.004545454545454545,0.00909090909090909,0.75
0.16,0.4,1,0.004545454545454545,1.0,0.004545454545454545,0.0,0.759090909090909
0.18,0.1,34,0.15454545454545454,0.17647058823529413,0.02727272727272727,0.12727272727272726,0.6545454545454545
0.18,0.15,30,0.13636363636363635,0.16666666666666666,0.022727272727272728,0.11363636363636363,0.6636363636363637
0.18,0.2,17,0.07727272727272727,0.17647058823529413,0.013636363636363636,0.06363636363636363,0.7045454545454546
0.18,0.25,9,0.04090909090909091,0.1111111111111111,0.004545454545454545,0.03636363636363636,0.7227272727272728
0.18,0.3,2,0.00909090909090909,0.5,0.004545454545454545,0.004545454545454545,0.7545454545454545
0.18,0.35,2,0.00909090909090909,0.5,0.004545454545454545,0.004545454545454545,0.7545454545454545
0.18,0.4,1,0.004545454545454545,1.0,0.004545454545454545,0.0,0.759090909090909
